FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
215358|Pepper Tract|Area|DE|10|Sussex|005|383155N|0752814W|38.5320594|-75.4704762|||||11|36|Trap Pond|10/01/1989|
215359|Terrapin Hill|Summit|DE|10|Sussex|005|383105N|0752702W|38.5181706|-75.4504753|||||12|39|Trap Pond|10/01/1989|
215360|Westerlee|Populated Place|DE|10|Sussex|005|382730N|0753519W|38.4584496|-75.5885365|||||14|46|Delmar|10/01/1989|
215361|Little Creek Church|Church|DE|10|Sussex|005|382936N|0753022W|38.4934489|-75.5060331|||||13|43|Delmar|10/01/1989|
215362|Records Estates|Populated Place|DE|10|Sussex|005|383050N|0753507W|38.5140044|-75.5852035|||||11|36|Laurel|10/01/1989|
215364|Dogwood Acres|Populated Place|DE|10|Sussex|005|383208N|0753503W|38.5356709|-75.5840923|||||9|30|Laurel|10/01/1989|
215365|Hollywoods Park|Populated Place|DE|10|Sussex|005|383237N|0753504W|38.5437264|-75.5843701|||||9|30|Laurel|10/01/1989|
215366|Pusey Development|Populated Place|DE|10|Sussex|005|383251N|0753447W|38.5476152|-75.5796477|||||8|26|Laurel|10/01/1989|
215367|Laurel Creek|Populated Place|DE|10|Sussex|005|383320N|0753336W|38.5556708|-75.5599247|||||8|26|Laurel|10/01/1989|
215368|Gulls Nest|Populated Place|DE|10|Sussex|005|383433N|0750338W|38.5759453|-75.0604584|||||1|3|Bethany Beach|10/01/1989|
215371|Bayberry Dunes|Populated Place|DE|10|Sussex|005|383417N|0750337W|38.5715009|-75.0601807|||||1|3|Bethany Beach|10/01/1989|
215372|Quillens Point|Populated Place|DE|10|Sussex|005|383511N|0750422W|38.586501|-75.0726811|||||2|7|Bethany Beach|10/01/1989|
215373|Newtons Acres|Populated Place|DE|10|Sussex|005|383508N|0750433W|38.5856677|-75.0757368|||||1|3|Bethany Beach|10/01/1989|
215374|Bayside Hamlet|Populated Place|DE|10|Sussex|005|383452N|0750436W|38.5812232|-75.0765701|||||4|13|Bethany Beach|10/01/1989|
215375|Steele Acres|Populated Place|DE|10|Sussex|005|383454N|0750437W|38.5817788|-75.076848|||||5|16|Bethany Beach|10/01/1989|
215376|Holly Ridge|Populated Place|DE|10|Sussex|005|383412N|0750506W|38.5701122|-75.084904|||||2|7|Bethany Beach|10/01/1989|
215377|Sandy Cove Camping|Locale|DE|10|Sussex|005|383424N|0750535W|38.5734455|-75.0929598|||||2|7|Bethany Beach|10/01/1989|
215378|Cedar Shores|Populated Place|DE|10|Sussex|005|383429N|0750537W|38.5748344|-75.0935154|||||1|3|Bethany Beach|10/01/1989|
215379|Holly Lake Campground|Locale|DE|10|Sussex|005|383950N|0751213W|38.6640014|-75.2035198|||||4|13|Fairmount|10/01/1989|
215380|Hollyville Acres|Populated Place|DE|10|Sussex|005|384118N|0751348W|38.6884458|-75.2299098|||||10|33|Fairmount|10/01/1989|
215381|Danfield Acres|Populated Place|DE|10|Sussex|005|384035N|0751428W|38.6765015|-75.2410214|||||9|30|Fairmount|10/01/1989|
215382|Beaver Dam Acres|Populated Place|DE|10|Sussex|005|384114N|0751235W|38.6873347|-75.209631|||||7|23|Fairmount|10/01/1989|
215383|Lochwood|Populated Place|DE|10|Sussex|005|384044N|0751146W|38.6790014|-75.1960194|||||4|13|Fairmount|10/01/1989|
215384|The Willows|Populated Place|DE|10|Sussex|005|384112N|0751101W|38.6867791|-75.1835188|||||6|20|Fairmount|10/01/1989|
215385|Bay Shore Hills|Populated Place|DE|10|Sussex|005|384142N|0750841W|38.6951123|-75.1446281|||||0|0|Fairmount|10/01/1989|
215386|The Woods on Herring Creek|Populated Place|DE|10|Sussex|005|383952N|0750839W|38.6645567|-75.1440726|||||3|10|Fairmount|10/01/1989|
215389|William Ritter Manor|Populated Place|DE|10|Sussex|005|383747N|0751104W|38.6298348|-75.1843524|||||5|16|Fairmount|10/01/1989|
215390|Long Neck Church|Church|DE|10|Sussex|005|383807N|0751129W|38.6353904|-75.1912972|||||5|16|Fairmount|10/01/1989|
215391|Harlemtown|Populated Place|DE|10|Sussex|005|384125N|0752233W|38.6903911|-75.3757502|||||14|46|Georgetown|10/01/1989|
215392|Fairway Villas|Populated Place|DE|10|Sussex|005|383432N|0750834W|38.5756682|-75.1426842|||||4|13|Frankford|10/01/1989|
215393|Bay Colony|Populated Place|DE|10|Sussex|005|383510N|0750839W|38.5862236|-75.144073|||||4|13|Frankford|10/01/1989|
215394|Gull Point|Populated Place|DE|10|Sussex|005|383541N|0751234W|38.5948351|-75.2093536|||||4|13|Frankford|10/01/1989|
215395|Warwick Park|Populated Place|DE|10|Sussex|005|383549N|0751237W|38.5970573|-75.2101871|||||5|16|Frankford|10/01/1989|
215396|Riverdale|Populated Place|DE|10|Sussex|005|383539N|0751104W|38.5942795|-75.1843526|||||3|10|Frankford|10/01/1989|
215397|Orchard Manor|Populated Place|DE|10|Sussex|005|383559N|0751046W|38.5998349|-75.1793523|||||2|7|Frankford|10/01/1989|
215398|Harmons School|Locale|DE|10|Sussex|005|383652N|0751215W|38.6145572|-75.2040755|||||5|16|Frankford|10/01/1989|
215399|Indiantown Farms|Populated Place|DE|10|Sussex|005|383715N|0751247W|38.6209461|-75.2129648|||||6|20|Frankford|10/01/1989|
215400|Larence Cordrey Subdivision|Populated Place|DE|10|Sussex|005|383730N|0751538W|38.625113|-75.2604669|||||8|26|Harbeson|10/01/1989|
215401|New Saint Johns Church|Church|DE|10|Sussex|005|383744N|0751653W|38.629002|-75.2813013|||||10|33|Harbeson|10/01/1989|
215402|Edward Cordrey Subdivision|Populated Place|DE|10|Sussex|005|383744N|0751652W|38.629002|-75.2810234|||||10|33|Harbeson|10/01/1989|
215403|Gran-ville|Populated Place|DE|10|Sussex|005|383813N|0751748W|38.6370576|-75.2965797|||||10|33|Harbeson|10/01/1989|
