FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1609872|Central Mercedita|Locale|PR|72|Ponce|113|180108N|0663348W|18.0188537|-66.5632278|||||26|85|Ponce|02/13/1981|
1609873|Central Monserrate|Locale|PR|72|Manatí|091|182550N|0663022W|18.4305026|-66.506005|||||7|23|Barceloneta|02/13/1981|
1609874|Central Plazuela|Locale|PR|72|Barceloneta|017|182745N|0663219W|18.4624456|-66.5385054|||||3|10|Barceloneta|02/13/1981|
1609875|Central Rochelaise|Locale|PR|72|Mayagüez|097|181012N|0670916W|18.169956|-67.1543463|||||1|3|Mayaguez|02/13/1981|
1609876|Central Roig|Locale|PR|72|Yabucoa|151|180342N|0655225W|18.0616308|-65.8734955|||||10|33|Punta Guayanes|02/13/1981|
1609877|Central Rufina|Unknown|PR|72|Guayanilla|059|180035N|0664737W|18.0096875|-66.7935086|||||7|23|Yauco|02/13/1981|
1609878|Central San Francisco|Locale|PR|72|Guayanilla|059|175852N|0664915W|17.9810777|-66.8207308|||||7|23|Punta Verraco|02/13/1981|
1609879|Central San Vicente|Locale|PR|72|Vega Baja|145|182729N|0662203W|18.4580015|-66.367392|||||4|13|Vega Alta|02/13/1981|
1609880|Central Santa Juana|Locale|PR|72|Caguas|025|181436N|0660142W|18.243288|-66.0282208|||||53|174|Caguas|02/13/1981|
1609881|Central Soller|Locale|PR|72|Camuy|027|182155N|0665342W|18.3652269|-66.8948993|||||198|650|San Sebastian|02/13/1981|
1609882|Centro Calvache|Populated Place|PR|72|Rincón|117|181849N|0671337W|18.3135603|-67.2268476|||||27|89|Rincon|02/13/1981|
1609883|Centro Médico de la Universidad|Hospital|PR|72|San Juan|127|182346N|0660424W|18.3960595|-66.0732215|||||26|85|San Juan|02/13/1981|
1609884|Centro Palmar|Populated Place|PR|72|Aguadilla|005|182355N|0670750W|18.3985576|-67.1304581|||||23|75|Aguadilla|02/13/1981|
1609885|Centro Puntas|Populated Place|PR|72|Rincón|117|182148N|0671549W|18.3632797|-67.263514|||||63|207|Rincon OE W|02/13/1981|
